data:

foods, foods_cost =
    hamburger 2.49
    salad 2.49
    hot_dog 1.50
    fries 1.89
    macaroni 2.09
    chicken 2.89
    milk 0.89
    ice_cream 1.59
    pizza 1.99;

categories, categories_min_nutrition, categories_max_nutrition =
    protein 91 1000000000
    calories 1800 2200
    fat 0 65
    sodium 0 1779;

nutrition_quantities, nutrition_quantities_quantity =
    hamburger protein 24
    hamburger calories 410
    hamburger fat 26
    hamburger sodium 730
    salad protein 31
    salad calories 320
    salad fat 12
    salad sodium 1230
    hot_dog protein 20
    hot_dog calories 560
    hot_dog fat 32
    hot_dog sodium 1800
    fries protein 4
    fries calories 380
    fries fat 19
    fries sodium 270
    macaroni protein 12
    macaroni calories 320
    macaroni fat 10
    macaroni sodium 930
    chicken protein 32
    chicken calories 420
    chicken fat 10
    chicken sodium 1190
    milk protein 8
    milk calories 100
    milk fat 2.5
    milk sodium 125
    ice_cream protein 8
    ice_cream calories 330
    ice_cream fat 10
    ice_cream sodium 180
    pizza protein 15
    pizza calories 320
    pizza fat 12
    pizza sodium 820;

enddata
